Name,Score
FMSIRN,60
OARMPA,68
JYWBEJ,87
QINBZG,71
GTGBCQ,78
GMDCAO,46
WFTKMS,66
GTWIMT,7
XKVHON,38
CFNPNN,23
GBOIMD,70
NSAVRI,33
EQXPOJ,4
OCGFCH,43
SHDELD,36
XFDFEF,44
HKKIBP,85
KHUGIU,73
QRJNUS,20
VIHVLU,50
CQZGDW,69
OVTPKV,65
CQVVHX,53
RJGUCH,22
XZOFAQ,18
PZFPQD,29
UXWANR,100
IGKPIC,17
VPYXCW,96
CYHEGM,51
ZQIMDM,56
MWSLOP,95
DGWMLH,25
VORWMC,56
WRZFSZ,50
JANKTP,15
ASSFLZ,60
SCPXPD,81
UJJWRL,78
TLVHKA,40
BCQBGJ,6
LPKXVL,6
POSLCO,43
DOQVFK,46
XONQZK,82
RDYVJD,91
HGFFSJ,33
ZDPRHY,80
VHOHHT,47
VQTCVO,23
CNVOAE,8
XRRQXD,71
YOTALH,79
VIBETB,88
OGTPZV,44
QJPKGT,43
ODOTJQ,95
IRJXSZ,61
KVXJGF,89
WDOPEH,47
EVBPRL,60
MXSQNP,2
JEZJEC,55
DAZQNL,66
MAHZEH,93
IHDNJG,81
BGOWTO,36
QRYSXC,25
SLSSOT,49
RITRDP,56
UDCPSD,80
WNAGSD,35
LLBFEX,92
PJQYZC,40
KERGDJ,23
DTMFUN,2
DYACRP,81
RNRMGU,99
YDRHWN,24
RGAEDF,32
XPRYAJ,60
KPZIJH,76
ENAGSJ,15
QYJMRP,94
NPLXRW,88
NIVOKD,100
QNVFPO,28
FNVKOH,40
RRBBED,31
HNCDXX,80
WUUSHU,52
MABUEC,54
AUHROX,69
ALOUGK,10
ZMNRGW,81
BXNLLP,73
ZPRXAN,99
KBDHGW,34
FCKQPQ,18
MZCQDK,10
VNXDXN,0
MYGMVE,69
FRSUXX,64
OUJOUU,88
MOMEOK,100
MUKMIY,2
SGBPVC,68
WFBMXP,26
NFWAQS,3
GCINKR,29
SNAFXU,70
DDGLBH,100
SAHAQH,76
VGNSJT,92
AOFGCU,7
JSLXCH,13
UNAYEK,62
KYOAYL,54
QWTKDB,58
MNOSHU,69
VTTGJM,94
KLWIAY,33
VWULKF,38
KVLNRG,75
WLCVBP,11
BEFRNX,28
TNLQOP,30
VCOREF,93
ERAPXL,18
TXPSYQ,54
TNAMGG,24
PJMWIY,86
GPNZDE,7
HZEPUQ,63
BWOHVD,7
CDCGFE,9
NBMQJN,73
KZLTRT,38
AEOMJZ,57
HXUKGQ,8
NWVUGS,23
HJUVMF,47
RRFBWP,55
RYNJCU,0
XFRZSQ,84
DYLANI,49
ZKYNHG,51
QOYYXH,72
AJFCOG,83
XDESLS,81
USUSCY,94
XNYAVS,17
YZNQTG,35
NSXPQJ,41
CRQXJZ,13
JSIEYJ,5
FSBNJQ,87
SOSSWW,77
NCJYBP,4
AHWTPA,70
PCDHFJ,78
RHLWKR,36
LRRZAV,6
CGRWXC,17
XAYBOA,50
QQKTEI,44
MLLQFN,32
GRGFPQ,26
FQULKE,22
BZULVO,33
GVUQYA,38
QUYIHV,58
MCRMJD,60
VLPMQX,94
WQYDBH,22
ZCBXBF,66
ZEPPVU,54
FZSEST,48
OUXKJC,51
YTGBSF,55
HRJUFX,0
QMYJZT,88
LZQPTM,92
CKBIHO,47
UMPJML,0
INIBRP,68
FJBATR,98
JOQJSM,43
GECQZK,46
SXLKAS,49
ZXAGET,21
UJDWIO,14
YOLZJW,94
QCTSCM,70
GROWGJ,45
GMGPZS,89
OIZQTH,9
JBBPYU,17
HOZDIL,88
AVSSHP,45
VPVVTW,37
SUUHFH,26
FUTGRQ,38
GYWFKE,21
DVUDKK,71
HMWDFO,63
JTHGCD,65
XERGHJ,87
ICWVOW,70
ZETQIX,11
ZLZULC,72
KLDZTC,91
NRJPOI,7
WLUVUT,5
GQMDQO,75
XORPFP,43
XKNHKD,72
KKOUAZ,71
SKLJVE,6
QJZMDG,49
ERNIPT,74
IKHSLV,41
LGPNRW,88
WLXFGO,90
SCNNGH,17
PQCOGW,93
HAJTSZ,3
UNFFAQ,2
YVNMTH,30
KXPLVH,10
PWWRJX,83
BNFWXN,83
ETJYKK,11
LLDWMW,95
OWLWLH,70
JQUMGD,12
DFJAUP,15
FZWRGT,65
LUYFEM,9
WQQQLI,30
WIGGXG,6
EVUJUS,19
CZJCFB,96
YKWCDX,71
OWZXWY,66
NQTJGE,94
TBKTRS,87
HRZGFK,46
CJBAAF,43
AVBAAH,24
XVBLNY,11
TMQOBE,65
UUAVWD,40
IXTUYL,18
IXHUJV,34
NHWDWL,87
QRRKLN,60
ROVVXK,22
CZVUPV,30
WJENYK,27
QYCOHD,91
KIJVNQ,16
BCQGQS,3
TUVIOC,53
YVACTC,34
RKGLFR,48
BJGGRI,78
OLKRHN,39
DYYHVG,90
MEADOC,49
TORYDW,11
UMWKZR,83
VJDTKV,49
LKUYZK,1
EVZMOV,31
KYNXMW,39
HEASEF,34
KOMKCF,67
WUZFPD,19
TLIYOW,78
YDGAQC,95
SAZJYC,78
KJPYRE,3
IUKILJ,7
ZCZYZG,99
XLFOGD,57
AWBQSS,87
QBNZXX,58
ZJQWXY,23
DZJXAQ,43
GMYGEO,86
MBGLQG,15
ZIQGGJ,76
HFUNWP,3
NCUFUP,60
EJVUFG,21
ISRBHC,74
XCMDMS,18
YRNBLY,23
NDQBRW,45
LHBBVP,95
VCSNWS,93
IUBCEW,52
DQOVCQ,29
IDRRXG,59
MDNFPE,57
IDUKZZ,100
SBKAPX,70
DVLRBU,62
GTQSNN,60
DWPCWK,85
KFSSQF,63
TZPAFR,66
FCZKYX,15
GNGLMM,36
RFQUAP,46
GZUUAE,41
BOIQZV,65
EHYFCL,12
VWCMEI,43
YHMUEP,42
ZTJHAL,24
FDWOJL,87
TLEACE,17
PYEMDJ,96
UBZTCW,83
LWHVQL,68
JCZCUV,87
BPTYDP,34
NQAHVS,68
ZVJDSK,14
NCGLGN,21
IPPZYY,72
YTKNDZ,27
SCFVCV,39
HKYZKH,2
SBRJRE,45
ZYVOJV,22
XCGJQZ,23
BZMMNQ,9
UQNEFH,100
EAZQNN,58
ZGDBNM,24
HICBEB,86
ACJPTP,67
LNXAIM,19
THGXNG,3
XRRFKC,42
ZDACHX,22
CUNHLL,69
VUVRMA,0
PJQMEU,9
RBEPZF,70
JNNDOE,64
CKKMMI,53
OYSQNE,75
DUSCDV,24
RVEXWM,65
SNRSWP,87
OBISQY,26
NTJFNU,10
XJVMIA,91
HXOOCM,53
ATXDQW,48
QCBMQP,93
FXQHAO,57
AXSMSE,36
WFIDXS,95
VEHPUB,63
WRDMWS,100
TPIBNK,83
WPSGNQ,61
WGGIEI,95
KHLFGV,88
EBHVBW,56
UHSLFB,80
NZXJNI,82
XXAIUV,26
HZJCTP,23
ZABXPY,32
HXHEUU,3
HIENDI,14
WALTNN,100
SGOKBU,9
LKZEVO,61
WSUNRB,85
MRVWFZ,44
ZJFEVY,47
LRHZHM,66
SWJJCC,28
TSSBSK,63
DPWAIX,46
BRTAPL,93
FRJJDY,58
KPVDYC,82
RHLPEB,74
WQNBSV,9
GWQKVQ,34
XXZSVA,13
SEZXIE,83
NVYYON,6
UINYXW,17
JIAVRL,64
DDPGYK,36
APEXJP,47
IWPTCL,33
MRFREH,47
CZPVQC,46
VVICGR,96
DPXPOV,76
LXMXLG,41
LLBYIM,1
UHPYEA,35
SWBYQE,13
NYXXDJ,58
KOOPNR,47
XZVKRC,78
IPQYUM,82
BYLBTW,4
MCLRUR,41
ICPVYM,48
OTPTOU,99
SZUXIA,22
REFDUZ,42
MITWPI,12
EQQPUG,84
TKBCWI,49
MLTBGI,47
IKCCNE,3
JOEFST,99
TZDVJG,30
CXQDQG,29
PYJNBT,48
EALJNQ,27
GTRVYN,25
APYBDQ,0
AZBXIE,42
TISKUZ,83
MQXGVG,58
RUVVZC,55
JKSOLU,100
QLCBAF,68
ZAWQSV,30
WUQMYL,12
YPYUOQ,94
HYEDZY,3
LASJMW,16
CFGAJB,3
LZJXLA,53
HCCTLN,96
OBXSXH,85
IHZCKU,97
OLMAFI,77
CQDVSD,10
WMHPQI,64
LVIEDL,0
SIZQPT,77
ECKBDR,14
BWPWQC,27
LEHFRG,96
EXIZTL,100
ICENNX,58
UNKAOI,33
LZROLU,26
ZGVHZZ,99
JDJRRT,67
JXMWKF,67
MEMJSL,74
BPXPKP,8
DUYXNX,68
EBZYCV,92
VNGUZH,82
ZJJQGW,100
FKIXQN,29
ERPOXQ,32
KCBLKR,66
OXSWJC,10
ZULAXM,12
NLGXHK,45
WCRCVS,47
XYJHFH,75
ENAJLD,13
GWLAUD,25
DDKPGM,15
TFLYRH,69
AERLQF,50
ROZOQU,17
WNVAQG,69
JLRYUO,68
LUIIMA,56
HFZWYP,98
MHPVNQ,50
VUMEMI,73
WBBOWN,39
MUTTBW,13
ZAMGBV,32
GYZRND,89
NWXPSL,56
JBHWJN,8
XHHFVW,72
BTMYKH,8
TQXQSA,70
LGDWRX,42
PZQQIJ,69
SJGFIU,20
HUQKLF,83
ATASEI,29
UGARXO,48
UHTWCR,62
ATHBYS,64
ZFPJQY,69
KUCCAW,34
MASGEM,21
JJQMZV,41
KKWGNF,94
VEGXGZ,68
IXXRMY,68
RKTOEZ,23
NAAOIZ,56
MDNAGG,51
VSAOOV,61
CDXOYV,3
WPYYCI,10
SWYTYH,63
IKXPBZ,14
CHUBLF,51
SLYELW,79
RKMLNU,49
RRWBER,76
RYCXLS,100
LOALWM,2
GRGAJY,34
EZQYAK,41
JQQEEK,93
CMYOGU,97
GEDESR,92
XRNSPB,29
GMTFRH,85
GWGVHQ,1
COVVYU,96
MRZAZM,29
WLHUYQ,26
QWHMSW,80
HNZWBN,97
JFNDAO,8
ZNTDVC,88
QLQMKM,61
HIWVPE,67
TGMLJU,63
XPKPUO,69
NJDBFJ,50
BAOYDH,57
ZSNRHK,97
TLMTJL,24
EEDTUV,77
XXXKPC,37
QVJBQX,72
OETAPP,29
FEWATL,10
FNVYIF,72
UFTXWF,70
SHEPME,51
PBPQXJ,5
BPDPDB,5
QGIYEK,76
BJIWPE,14
GUPMZU,65
OPKGUM,63
HUFGDZ,80
DFLZUJ,37
OHYQRW,8
EIUGOA,24
DRBKOI,59
SWWWWI,42
POVQAU,76
ZHWDDD,58
YABAPK,3
GWTCBW,10
NSRJNF,43
CIYXKW,93
DIROUZ,64
SVMHBM,36
QBOQDC,82
EJGIGY,26
PKFGMQ,28
SZEGDV,34
MBHJFS,10
TPBFCE,46
TXUKXO,66
ZVTIPI,44
VXMPMY,30
SAAWQB,64
PGYGCG,93
JSAEPK,19
CWGKSR,30
ISEWLZ,93
OWPLLE,34
ILPKBM,65
SMILMF,3
UPOFFB,84
YWMPNC,45
SGIUNL,52
OLBPGB,84
OYEFIM,100
UEKOHM,36
ZWDAJY,8
BKZUOO,46
OYGLTQ,57
RSPYGJ,42
LEDPFH,95
IDUMSY,32
OIEVOS,72
NWIBTP,62
JMRYKR,38
ELNKOD,82
YMBTTZ,39
JLCXUD,98
VLIALY,83
CNEMPD,25
DRGSSU,47
ZFVEPG,84
QKZVEJ,7
XYIMTD,43
FXYTXV,19
OZEAOH,35
BPXEYS,15
UVALCJ,80
HHXUTB,45
AAHNBX,71
KCHFVU,46
IGDJXL,51
YTIHST,10
TMMBJW,33
XKTBBN,80
EYLMPR,33
KJZYNM,54
WDKDIS,22
YZFGVJ,3
PXTZAS,14
YTARGC,28
VGWWZU,72
DHHJZP,69
YPOOYE,71
HYNLXX,97
ITNSOM,28
SDQWEC,91
RYIKOJ,3
ZSGEBS,44
AQJEKF,82
BXVJZC,16
EXJKWV,64
QHGLQJ,92
TPDJYM,11
ECTNTQ,39
EYYSHW,90
FLWNZU,69
WHIHVY,4
ONWVQL,77
LDPMIC,8
ITTPII,32
NQHDPT,87
GOOFNT,0
VDITXJ,45
CYRANQ,25
SNGPUG,53
QIAKKA,31
LRGQEY,91
PPPWLT,73
GLZUNH,25
SZQBBW,61
FRSVBG,31
SAOCBE,20
UEGJJE,63
ZHCPBC,38
AZDGZO,52
THDDFL,13
NKQUFC,73
FLSITO,75
ANKOUF,45
EPCVCH,56
LJFCTF,89
IJEJZO,23
QVUTZF,90
GOHPXT,86
KRVJPE,22
SFZOCN,58
YPUTGJ,76
OVHXDQ,41
OVFOUC,36
RUFZOW,35
LFMESO,1
JLZIFC,54
PMJZWY,40
THJEUV,60
SKROMR,45
YXUKGK,73
NMSQEH,21
NYASUF,59
WZEKPA,61
GZYXOJ,66
LYXOIN,56
KGZWMR,42
WBOUHM,7
VVEIDR,20
MMWVKC,4
PBSWNO,16
NKNUXH,21
KXGSCV,38
NIWJZO,51
OLMWOL,11
KIBYGT,56
FHNAQJ,65
PVOWBJ,38
WFFUNS,49
UKSDEQ,79
RYZYUW,2
VLESDD,85
PAGDDP,40
VIUBOM,61
OSXHOE,74
MVSTYZ,66
HLOMYW,66
EBOWIG,69
HVKOYA,76
OQZTXF,7
PNZYEK,24
BIJHQE,26
CVIRDR,94
ETYLPE,12
VKWEQN,73
FQBHEW,12
ZOCXZT,91
CHEYTK,36
TYJIGB,73
QLPONF,14
CIAFNR,76
HYGGZN,36
MOFHAZ,24
EHLIPR,27
SZURPC,82
ILGBRY,8
ZCFENF,89
OBPKHE,83
IVKWPT,22
ZTIIJY,87
BTXDKU,6
RPJRDV,22
ZCDADH,57
SENAMN,37
TIOQTI,57
VHTXUX,23
PYLFCN,63
SOYWSG,34
QJRQKH,99
PQUXRS,81
BUKYGX,28
STROCS,46
NUSOCL,43
FGFEMI,48
LQZIUQ,30
IQYMTE,25
WTEYXS,71
IBAIFJ,69
HUTXLH,65
GWVQFW,1
GQGKZO,95
ZGGVVA,91
SNOUWZ,66
BGFWNQ,56
ZDTDFI,75
OMIHMK,83
DGGQHN,44
UTQNDT,0
RDWEQP,31
ZPGLIS,85
RWNMIK,56
PMZNKL,24
JGRAJC,77
VSOCGA,81
RPBIBF,29
GXGUZR,6
JWIIUL,85
JEUVCL,49
FYIJFD,46
XDZKKN,46
WLQPEN,82
FFVKHS,92
IHYFUS,33
HMQGCL,18
YGKYKT,29
LBXFGY,15
NMRYFQ,51
ICUCMA,9
CEEMCZ,67
DCAJFF,48
KHREPD,29
VDVZJI,33
WGUKFC,76
SLMDEX,21
JTSXXU,34
AAPDNL,74
ZPZJWE,94
HUPGRH,1
IWKKTN,11
DABRUY,68
LBIXWQ,92
LAINXI,47
LGMQTO,42
XDUFZW,62
EZWZWP,18
PFDXZT,27
PXFUAX,22
WLZKSK,59
MOWNUQ,10
ZJKNWC,40
ERXGRF,1
WYBHBR,98
XCUGHA,51
YGECFF,68
YXQUHR,34
DSRYCS,24
PUFCES,52
EEAVXW,82
GUMVCE,22
ZYSPIP,73
AUYUJY,32
JAYTYX,60
QJRDUY,10
DVIFVB,59
AYXBLI,100
VXUKPZ,41
QHYRVM,62
IJDMSH,47
LFDLEI,79
VPNVNP,13
YPQGLN,3
CHMFDU,82
WPNDWE,54
FADJTD,64
SBGGCD,93
WCSDEG,61
IPVARV,62
SGCHPX,55
VVUUDP,0
XWAJPX,38
ECKSOY,76
NHMHHC,74
CTYRII,91
NMNIDK,70
YRQDWE,48
OZDNVM,6
BTXUJG,8
FGSDFR,84
PFIMWZ,2
SZWRJC,47
QJYTQG,19
OXVPIE,6
RTDMNJ,47
JPYIEO,32
MMYHEN,9
OZYSHB,17
JZNOTZ,39
LEIUWC,35
XULVZB,97
USSCSI,8
INAPGZ,19
TXDUGE,97
SVNSBT,66
XMRUBY,0
SCWMLL,87
GBWWJC,20
XXMRVB,95
FKDPNK,69
IZFUAV,5
TWJNNS,9
QTMIQH,43
RXMYTY,18
ZWSZBS,25
HVEBFI,37
EGLGZO,9
IWPFDK,70
FJGIUE,48
KVZAAB,1
ACQNCJ,6
BGOTUS,71
VEPFEK,26
DXKORU,19
RWOEJB,84
EARBAF,50
GSEBHU,49
HLOTIG,1
VWMQJK,39
DHCBMJ,79
XZLJDQ,1
TADBKO,35
QYAOVL,86
PEBQHH,34
VHMXOV,56
EALUYI,4
CLFMSX,37
DXDMDK,9
FLAZBR,97
DZHCDO,78
LDXLJY,77
PJYIIF,57
QBMKZC,67
OHYKXK,51
AHQJHK,85
KOFYQN,33
VLPOFH,3
NWGLYV,48
WQYNAZ,61
RZEPON,11
KMCWJJ,51
EURRSJ,34
COVSME,24
EUUVNH,35
KFXCYB,39
EKLHMI,18
MQHOZB,93
RVVJSA,29
OEYPGV,91
ZLHMCA,60
DVLBTF,46
RDQKXY,69
BRUSJA,59
VBOWJK,12
DSVQLE,40
EELLRB,14
ZZJLTJ,31
WLPLQE,86
WNKAMS,1
XDGQEJ,78
JAFMID,34
EVCQJR,52
HIJUWF,2
XXXYQU,97
VCBLXA,10
GGVDKM,44
VELCTF,99
DKBVLT,76
PWEWDS,71
JCIYDW,6
TFGYBZ,56
XIAXBR,32
NXTGMH,55
BSFQCU,98
LRIMAZ,22
KAIOEA,87
EAOXPP,95
QELIQG,87
VPGPKV,45
HAGQJU,36
NFGOKC,41
LXIRJY,77
ZHWIKB,19
MTNAAZ,64
LMMASF,33
FHXMRU,70
COPKRU,13
VNDDPV,56
NTHEYC,40
GCJZRK,90
OIZIAS,22
AMMVKO,84
ZWEXWR,85
FDYECA,97
VXMLGW,92
PRCLGZ,7
GHIVER,9
FLWCOD,16
GTBCGM,30
FBOVMR,88
NHBKAK,12
AXOGUO,87
ACQCGZ,50
KOIBNQ,3
BLOOJK,97
RQFMPP,95
AZPYNG,77
WMGWSV,70
KAZTFL,96
OZOWRG,38
ZDHUBZ,92
ANQJWB,42
MCOXBC,57
JJNGHD,45
ZHUVTX,48
TEZMAO,83
DWYPRG,54
HESEHH,8
NMJABD,91
IDVHVR,33
ZZDETY,92
AQKPUN,74
BULRRQ,29
IZWBMR,93
DZCLMM,28
HSBXOM,75
ENBTXF,18
ZDJIAB,48
ROESFJ,31
XGYEGL,91
GGIDYC,37
ORPMER,31
WVKRJC,55
ESXWPP,94
QWEQNQ,94
ITSKDI,76
WAXMVD,35
DXUYPJ,51
WINVZE,31
CUHVCB,71
PBAWSR,46
DNBXYC,32
ZXROLQ,35
RJRYWP,74
HMCUNG,26
VHIRBE,98
YRRJNB,42
UQXRAR,24
VRZUMC,56
NAPFUN,26
HMPILS,62
REFFIF,90
UHEJIH,85
WLLTVW,35
DEVIKY,79
FZBWFG,79
TLQDEN,12
KUJXSU,89
SJPUNW,65
DIMNOZ,15
QMYVZB,81
VJMJJJ,50
JFBGHH,4
NRRCKH,48
ZKHOQD,69
VRXHLW,16
HEOXPI,18
RMNHGO,42
XCPRQB,27
QOKJOM,82
NKVFDN,9
EKGJKL,69
NWYBFM,79
GAOWWP,28
JNSMWA,74
EARQAZ,24
RMNGLU,23
CYOSEF,96
KKRJDX,39
RSACJM,36
EWLPEW,47
XEJFXH,28
JYZATJ,26
YQLUFP,31
ILZFEB,34
ANWDXG,44
WSHZTY,30
WJVSOL,89
LAIEOV,57
BSWAJM,87
OIMEKN,13
UXPNAL,78
XRAAXU,70
KZCWOD,19
EUIBJB,85
CLATRH,90
BMRFZW,48
XTTSAL,60
UYEUVY,53
PLDCMB,73
FPGDAC,97
AHELJU,28
VQVAXL,69
SDJCQP,80
YEXEVI,81
AAEZQI,24
OEKIXO,4
ZOFOIY,62
JAXLZQ,83
YFHLUZ,88
SBZZVB,42
YEVFGX,27
MKGAVU,90
YORPJP,67
PTMABQ,10
WADKEN,93
JSFFCY,49
TODDWO,56
KFNCBA,77
SZCWYV,87
FNRKSK,17
GGNFXV,11
WVRQSX,77
OPKRAE,97
JJBKYG,78
XTPUJC,58
GCHOFY,35
WSUWUK,62
PNKAHJ,17
XQQSXL,13
STJIZH,80
UPXZRQ,33
DKAPBF,57
HLAYRY,3
WHINGT,19
SVWSNZ,12
KVBCGJ,14
AZSZYU,44
JLBLDM,60
UIRXQE,67
OAUAXU,0
QUSFXN,12
YOFEYR,18
WLMKIK,43
VWCDNJ,4
NFTMUM,52
MEKFLG,87
GIZPGU,44
GZJJPY,92
YFOOOM,14
CLIZSH,9
QURAMY,56
SIUZXF,67
YSOGJF,58
TGTWGT,25
UIFABB,99
MENDXH,68
FJWSQG,62
EPAIXD,80
ABUPRC,25
VVDGVJ,20
XRXGNA,13
DSZCBZ,74
EGRZJX,97
ULIUYU,38
FUFGLG,21
SCYXPJ,37
TWIDGG,76
MWZTUS,77
QRWXGZ,70
PVSKDC,75
SYNXSH,49
KMCVNU,6
GYCURO,89
OTQHFV,29
YHEVHF,7
LSPDOV,57
VJLNVP,17
XYLBDT,52
DQHHLA,61
BMRZGV,90
YLZBBU,90
IMABZZ,34
LNMAIM,6
WIXDHH,88
PHOLNW,73
WNCETI,67
YLMSDX,9
PPYSUF,25
AIOGIG,61
CSPUVX,29
ZJAUEE,70
TTGPLQ,24
MBDMKZ,40
LVRLMH,45
ABSPUD,82
ZOQGGF,25
CHQZNA,94
UWDWQX,8
GRTZGP,56
ORUNHI,55
VPMEZP,86
FOGPLQ,32
ONWERV,10
QYQYKE,80
MRNWWF,99
QCMFIL,54
WQUTVC,20
YZSYJZ,39
HHHFPL,56
ZGZXTU,4
LBHYYN,73
MGESCD,20
BCMLVQ,31
QAUMXA,93
EZEOMN,56
XUXGKG,30
FCBMLJ,88
IYCPHI,56
CQMBXQ,61
IKUQTV,15
DNMFJG,28
IYTZNK,12
UFUQMB,49
VNLPCE,73
NHUZLJ,59
WTNXBG,43
DCEJPE,2
KSGQYD,10
GICTZB,38
CBHTML,23
PYZXWW,13
XXDEEO,44
ZBQNUQ,83
OSPYNS,39
MPVBBR,16
GZWJEB,41
CXCHXJ,21
YWNKIA,32
HJCGHQ,0
VUHDZP,100
